[2020-09-16 18:41:13,657] I kiwoom.py | Kiwoom-__init__-0016 I DEBUG    > Kiwoom() class start.
[2020-09-16 18:41:18,192] I kiwoom.py | Kiwoom-msg_slot-0826 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 18:41:18,273] I kiwoom.py | Kiwoom-msg_slot-0826 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 18:41:23,318] I kiwoom.py | Kiwoom-msg_slot-0826 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2020-09-16 19:13:09,980] I kiwoom.py | Kiwoom-__init__-0023 I DEBUG    > Kiwoom() class start.
[2020-09-16 19:13:14,007] I kiwoom.py | Kiwoom-msg_slot-0842 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:13:14,104] I kiwoom.py | Kiwoom-msg_slot-0842 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:13:19,148] I kiwoom.py | Kiwoom-msg_slot-0842 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2020-09-16 19:16:45,897] I kiwoom.py | Kiwoom-__init__-0023 I DEBUG    > Kiwoom() class start.
[2020-09-16 19:16:49,210] I kiwoom.py | Kiwoom-login_slot-0124 I DEBUG    > 정상처리
[2020-09-16 19:16:49,232] I kiwoom.py | Kiwoom-msg_slot-0839 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:16:49,310] I kiwoom.py | Kiwoom-msg_slot-0839 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:16:54,370] I kiwoom.py | Kiwoom-msg_slot-0839 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
